seq_length,lstm_units,batch_size,epochs,rmse
15,32,16,20,0.8917667008113405
15,32,16,50,0.8183734329694372
15,32,32,20,1.0450664227607123
15,32,32,50,0.8205219025804719
15,50,16,20,0.8957072863319132
15,50,16,50,0.8299407470393941
15,50,32,20,0.9958573193572123
15,50,32,50,0.8092728646642985
30,32,16,20,0.861018431804214
30,32,16,50,0.8380936269659022
30,32,32,20,0.9592514700969821
30,32,32,50,0.8127667491481149
30,50,16,20,0.9081236833128007
30,50,16,50,0.8523093730589505
30,50,32,20,1.1433225544741457
30,50,32,50,0.8628542651677209
